"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"10";"13789";"Enzo Nardon";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0"
"France";"14";"17421";"Kilian Braise Fernandez";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"1";"0"
"France";"9";"1303";"Romain Marion-Vernoux";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"3";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"2";"7";"2";"5";"0";"0";"0";"2";"0";"0";"0";"0";"0";"8";"0";"1";"0";"0";"2";"0";"0"
"France";"5";"16890";"Denis Do Carmo";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"France";"4";"2380";"Alexandre Bouet";"3";"7";"1";"4";"0";"0";"2";"3";"0";"0";"0";"0";"2";"1";"1";"0";"0";"2";"1";"0";"0"
"France";"2";"17467";"Stevan Vitrant";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"1";"8";"1";"5";"0";"0";"0";"3";"0";"0";"0";"0";"4";"1";"1";"1";"0";"0";"1";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"France";"1";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Montenegro";"4";"109";"Jovan Vujovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"6";"2393";"Savo Cetkovic";"5";"6";"2";"3";"0";"0";"3";"3";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"9";"2155";"Miroslav Perkovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"1";"1";"1";"0";"0"
"Montenegro";"14";"98";"Danilo Radovic";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"1";"0";"0";"1";"2";"1";"0"
"Montenegro";"10";"93";"Vlado Popadic";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"3";"6";"2";"4";"0";"0";"0";"1";"1";"1";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0"
"Montenegro";"13";"102";"Darko Durovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Montenegro";"1";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"France";"11";"13787";"Mathis Mas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0"
"France";"12";"17401";"Jean-Baptiste Carpentras";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"France";"8";"604";"Denis Guerin";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"1";"0"
"France";"7";"998";"Alexis Drahe";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"2";"2189";"Marko Mrsic";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"1";"0";"2";"1";"0";"0";"0"
"Montenegro";"5";"4627";"Srdjan Janovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"7";"4628";"Strahinja Gojkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"1";"0";"0"
"Montenegro";"11";"112";"Filip Gardasevic";"5";"8";"2";"3";"0";"1";"2";"2";"1";"2";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"2";"0";"0";"3";"0";"0";"0"
