"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"14";"8567";"Vlaho Pavlic";"2";"3";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"3";"5";"2";"4";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0"
"Croatia";"11";"65";"Zvonimir Butic";"1";"6";"0";"3";"0";"0";"0";"2";"0";"0";"1";"1";"4";"0";"0";"1";"0";"3";"0";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"2";"5";"0";"2";"0";"1";"2";"2";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"2";"4";"0";"0"
"Croatia";"7";"64";"Duje Pejkovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Croatia";"5";"6";"Franko Lazic";"2";"5";"1";"3";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"9"
"Croatia";"4";"71";"Luka Loncar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"1";"0";"1";"0";"0";"0"
"Croatia";"2";"60";"Rino Buric";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"1";"0";"2";"1";"0";"0"
"Croatia";"13";"8339";"Mauro Ivan Cubranic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"Croatia";"1";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Croatia";"6";"915";"Andrija Basic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"2";"568";"Jan Perez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"1";"0"
"Spain";"3";"1290";"Alvaro Granados";"1";"5";"0";"1";"0";"1";"1";"2";"0";"1";"0";"0";"0";"2";"1";"1";"0";"1";"0";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"1";"7";"1";"6";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"5";"0";"0";"1";"0";"2";"0";"0";"0"
"Spain";"7";"582";"Marc Valls Ferrer";"4";"6";"3";"5";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Spain";"8";"12362";"Fran Valera";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"1";"0";"0"
"Spain";"5";"596";"Pol Daura Gomez";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"0";"0"
"Spain";"10";"595";"Max Casabella Belles";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Spain";"11";"420";"Unai Biel";"4";"8";"4";"7";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"1";"0"
"Spain";"14";"13705";"Biel Gomila";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"0"
"Croatia";"3";"23860";"Maro Susic";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0"
"Croatia";"10";"8557";"Ivusa Burdjelez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
