"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Japan";"12";"4765";"Kenta Araki";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"3";"1";"0"
"Japan";"11";"12171";"Daichi Ogihara";"2";"4";"1";"3";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0"
"Japan";"9";"15271";"Ikkei Nitta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Japan";"8";"4761";"Mitsuru Takata";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"2";"1";"0";"0"
"Japan";"7";"12174";"Kiyomu Date";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0";"1";"0";"2";"0";"0";"0"
"Japan";"6";"4759";"Toi Suzuki";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"1";"0";"1";"0";"0";"1";"0"
"Japan";"4";"16951";"MasayukI Yamamoto";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Japan";"13";"15272";"Ren Sasano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Japan";"10";"4763";"Yusuke Inaba";"4";"12";"1";"2";"0";"2";"2";"5";"1";"2";"0";"1";"0";"1";"2";"0";"0";"1";"2";"1";"0"
"Japan";"3";"12170";"Taiyo Watanabe";"2";"4";"0";"0";"0";"0";"0";"1";"1";"1";"1";"2";"3";"2";"0";"1";"2";"1";"1";"0";"0"
"Japan";"2";"4755";"Seiya Adachi";"5";"5";"3";"3";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0"
"Japan";"1";"15270";"Towa Nishimura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"7"
"Georgia";"14";"947";"Artsiom Dzikhtsiarenka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"13";"2372";"Giorgi Gvetadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"12";"1377";"Stefan Pjesivac";"4";"11";"4";"10";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"3";"0";"0";"2";"2";"3";"0"
"Georgia";"11";"13766";"Luka Chikovani";"1";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"0";"1";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0"
"Georgia";"8";"2370";"Jovan Saric";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0"
"Georgia";"7";"12213";"Sandro Adeishvili";"2";"5";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"1";"0"
"Georgia";"6";"715";"Dusan Vasic";"3";"4";"0";"0";"0";"0";"1";"2";"1";"1";"1";"1";"6";"3";"1";"0";"0";"1";"1";"0";"0"
"Georgia";"5";"2455";"Saba Tkeshelashvili";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"1";"3";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"1";"2";"0";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"0";"0"
"Georgia";"2";"2369";"Besarion Akhvlediani";"4";"4";"1";"1";"0";"0";"2";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"12"
"Japan";"14";"19513";"Taiki Katayama";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Japan";"15";"16611";"Yuki Moriya";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
