"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Greece";"2";"1328";"Konstantinos Genidounias";"4";"6";"3";"5";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"2";"3";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0"
"Greece";"5";"1334";"Stylianos Argyropoulos";"4";"8";"1";"4";"0";"0";"3";"4";"0";"0";"0";"0";"1";"5";"2";"0";"0";"2";"1";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"4";"7";"2";"5";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"0";"0";"2";"0";"0"
"Greece";"7";"4822";"Nikolaos Gkillas";"3";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0"
"Greece";"9";"11477";"Ioannis Alafragkis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"1";"0"
"Greece";"8";"867";"Efstathios Kalogeropoulos";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Greece";"12";"179";"Aristeidis Chalyvopoulos";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4"
"Japan";"1";"15270";"Towa Nishimura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"10"
"Japan";"13";"15272";"Ren Sasano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Japan";"2";"4755";"Seiya Adachi";"1";"4";"0";"2";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0"
"Japan";"3";"12170";"Taiyo Watanabe";"1";"7";"0";"5";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"1";"0";"0";"1";"3";"0";"0"
"Japan";"4";"16951";"MasayukI Yamamoto";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Japan";"6";"4759";"Toi Suzuki";"2";"5";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"3";"0";"0"
"Japan";"7";"12174";"Kiyomu Date";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"Japan";"8";"4761";"Mitsuru Takata";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2";"0";"0"
"Japan";"9";"15271";"Ikkei Nitta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Japan";"10";"4763";"Yusuke Inaba";"6";"11";"4";"7";"0";"1";"0";"1";"2";"2";"0";"0";"0";"1";"1";"0";"0";"2";"2";"0";"0"
"Japan";"11";"12171";"Daichi Ogihara";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Japan";"12";"4765";"Kenta Araki";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"2";"0"
"Japan";"14";"19513";"Taiki Katayama";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Japan";"15";"16611";"Yuki Moriya";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"14";"863";"Nikolaos Kourouvanis";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
