"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"12";"13740";"Akos Nagy";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"11";"814";"Krisztian Bedo";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"2";"0";"0"
"Hungary";"10";"2368";"Vendel Vigvari";"3";"4";"0";"1";"0";"0";"1";"1";"1";"1";"1";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"Hungary";"9";"17523";"Peter Kovacs";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"3";"0"
"Hungary";"8";"374";"Gergely Burian";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"2";"1";"2";"0";"0";"1";"0";"0";"0"
"Hungary";"7";"13737";"Zsombor Ekler";"5";"6";"1";"1";"0";"0";"1";"2";"0";"0";"3";"3";"1";"2";"0";"0";"1";"2";"0";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"1";"3";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"3";"0";"0";"2";"0";"2";"0";"0";"0"
"Hungary";"5";"13744";"David Tatrai";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0"
"Hungary";"4";"823";"Zsombor Vismeg";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"2";"4";"0";"2";"0";"0";"1";"1";"1";"1";"0";"0";"0";"3";"0";"1";"0";"1";"2";"0";"0"
"Hungary";"2";"1341";"Daniel Angyal";"4";"4";"2";"2";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
"Hungary";"1";"812";"Kristof Csoma";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"14"
"Hungary";"13";"14197";"Daniel Szakonyi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"14";"13745";"Vince Varga";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Georgia";"2";"2369";"Besarion Akhvlediani";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"0";"8";"0";"7";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"3";"0";"0";"0"
"Georgia";"5";"2455";"Saba Tkeshelashvili";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Georgia";"6";"715";"Dusan Vasic";"2";"4";"1";"2";"0";"0";"0";"1";"1";"1";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0";"0"
"Georgia";"8";"2370";"Jovan Saric";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0"
"Georgia";"7";"12213";"Sandro Adeishvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"1";"1";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"2";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0"
"Georgia";"11";"13766";"Luka Chikovani";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Georgia";"12";"1377";"Stefan Pjesivac";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"1";"0";"0"
"Georgia";"13";"2372";"Giorgi Gvetadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"14";"947";"Artsiom Dzikhtsiarenka";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
