"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"1";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"13";"18150";"Milan Glusac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"9"
"Serbia";"5";"440";"Djordje Lazic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"6";"1027";"Vuk Milojevic";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0"
"Serbia";"7";"721";"Djordje Vucinic";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"3";"1";"2";"2";"0";"1";"1";"0";"0"
"Serbia";"8";"696";"Nikola Lukic";"2";"4";"0";"2";"1";"1";"0";"0";"1";"1";"0";"0";"2";"4";"0";"2";"0";"0";"1";"0";"0"
"Serbia";"9";"707";"Luka Pljevancic";"1";"6";"1";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"1";"0"
"Serbia";"14";"4549";"Strahinja Krstic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0"
"Serbia";"10";"723";"Marko Radulovic";"3";"4";"2";"3";"0";"0";"0";"0";"1";"1";"0";"0";"3";"3";"0";"1";"0";"2";"0";"0";"0"
"Serbia";"2";"1059";"Petar Jaksic";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"4";"1029";"Vasilije Martinovic";"3";"8";"2";"5";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"2";"1";"0"
"France";"1";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"17467";"Stevan Vitrant";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"2";"0";"3";"2";"1";"0"
"France";"3";"1307";"Ugo Crousillat";"3";"8";"1";"5";"0";"0";"1";"2";"1";"1";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0";"0"
"France";"4";"2380";"Alexandre Bouet";"3";"9";"3";"5";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"France";"5";"16890";"Denis Do Carmo";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0";"1";"0";"1";"0"
"France";"6";"1304";"Thomas Vernoux";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"2";"0";"0";"0"
"France";"7";"998";"Alexis Drahe";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"France";"8";"604";"Denis Guerin";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"France";"9";"1303";"Romain Marion-Vernoux";"3";"6";"0";"2";"0";"0";"3";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"France";"10";"13789";"Enzo Nardon";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"11";"13787";"Mathis Mas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2";"1";"0"
"France";"12";"17401";"Jean-Baptiste Carpentras";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"France";"14";"17421";"Kilian Braise Fernandez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Serbia";"3";"4553";"Filip Novakovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0"
"Serbia";"11";"4554";"Luka Gladovic";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
"Serbia";"12";"4783";"Bogdan Gavrilovic";"2";"6";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"1";"0"
