"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Romania";"3";"2066";"Matei Lutescu";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"0";"0"
"Romania";"2";"779";"Francesco Iudean";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"1";"0";"0"
"Romania";"14";"2070";"David Bota";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"1";"0";"1";"2";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"2";"2";"0"
"Romania";"10";"1398";"Vlad Georgescu";"1";"5";"0";"2";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Romania";"4";"1399";"Tudor Fulea";"1";"6";"0";"5";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"4";"0";"0"
"Romania";"13";"1961";"Matei Marchitan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"9";"707";"Luka Pljevancic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"8";"696";"Nikola Lukic";"3";"5";"2";"3";"1";"1";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1";"0"
"Serbia";"2";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Serbia";"10";"723";"Marko Radulovic";"6";"7";"6";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"2";"0";"1";"0";"1";"0"
"Serbia";"14";"4549";"Strahinja Krstic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"2";"0"
"Serbia";"6";"1027";"Vuk Milojevic";"1";"5";"0";"2";"0";"0";"0";"0";"0";"0";"1";"3";"1";"1";"0";"1";"0";"2";"1";"1";"0"
"Serbia";"4";"1029";"Vasilije Martinovic";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0"
"Serbia";"5";"440";"Djordje Lazic";"2";"3";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"5";"0";"2";"0";"0";"0";"1";"0"
"Serbia";"1";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Romania";"8";"1401";"Nicolae Oanta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Romania";"11";"16647";"David Belenyesi";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Serbia";"3";"13696";"Marko Dimitrijevic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"1";"0";"0"
"Serbia";"7";"4553";"Filip Novakovic";"2";"4";"1";"3";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"1";"1";"0";"2";"0";"0";"0"
"Serbia";"11";"670";"Ognjen Stojanovic";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0"
"Serbia";"12";"4554";"Luka Gladovic";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"2";"2";"0";"0";"0";"0"
"Serbia";"13";"722";"Pavle Gavrilovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"5"
"Romania";"5";"17566";"Sebastian Oltean";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Romania";"9";"6672";"Tiberiu Cojocariu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
