"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"13";"18902";"Bernado Herzer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"12"
"USA";"14";"16657";"Ryan Ohl";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"9";"20700";"Corbin Stanley";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"USA";"7";"16660";"Ben Liechty";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0"
"USA";"10";"12214";"Chase William Dodd";"1";"3";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0"
"USA";"12";"2205";"Max Irving";"1";"6";"0";"2";"0";"1";"1";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"USA";"4";"23855";"Nicolas Saveljic";"1";"7";"1";"3";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"5";"1";"0";"1";"2";"0";"0"
"Croatia";"1";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"13"
"Croatia";"13";"8339";"Mauro Ivan Cubranic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0"
"Croatia";"11";"65";"Zvonimir Butic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"0";"2";"4";"0";"0"
"Croatia";"10";"935";"Branimir Herceg";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"4";"5";"3";"3";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"3";"8";"3";"8";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"0";"0";"1";"0"
"Croatia";"7";"64";"Duje Pejkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0"
"Croatia";"6";"23860";"Maro Susic";"1";"7";"0";"5";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"2";"0";"4";"0";"2";"0";"0"
"Croatia";"5";"6";"Franko Lazic";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"1";"0";"0"
"Croatia";"3";"79";"Filip Krzic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"3";"4";"1";"2";"0";"0";"1";"1";"0";"0";"1";"1";"3";"0";"2";"1";"0";"0";"0";"0";"0"
"Croatia";"2";"60";"Rino Buric";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"USA";"11";"23857";"Dom Brown";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0"
"USA";"6";"23856";"Alexander Oprea";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"USA";"5";"12216";"Jake Ehrhardt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"USA";"3";"2389";"Marko Vavic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"2";"0";"0"
"USA";"2";"15267";"Tyler Abramson";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0"
"Croatia";"14";"8567";"Vlaho Pavlic";"3";"5";"3";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0"
