"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Montenegro";"2";"781";"Nikola Moskov";"4";"7";"2";"5";"0";"0";"0";"0";"2";"2";"0";"0";"2";"0";"1";"1";"0";"2";"3";"1";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"1";"5";"0";"2";"0";"0";"1";"2";"0";"1";"0";"0";"2";"0";"1";"1";"0";"1";"2";"0";"0"
"Montenegro";"4";"109";"Jovan Vujovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0"
"Montenegro";"6";"2393";"Savo Cetkovic";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"3";"0"
"Montenegro";"8";"112";"Filip Gardasevic";"3";"6";"1";"3";"0";"0";"0";"0";"1";"1";"1";"2";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"Montenegro";"1";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"Montenegro";"9";"2155";"Miroslav Perkovic";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0"
"Montenegro";"10";"93";"Vlado Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"2";"3";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"2";"0";"3";"0";"0";"2";"0";"0";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"1";"0";"0";"0";"0";"0"
"Montenegro";"7";"2150";"Balsa Vuckovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"1";"0";"0"
"USA";"13";"18902";"Bernado Herzer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"12";"2205";"Max Irving";"0";"3";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"3";"0";"0"
"Montenegro";"13";"102";"Darko Durovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"11";"23857";"Dom Brown";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"USA";"10";"12214";"Chase William Dodd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"1";"0";"0";"1";"2";"1";"0"
"USA";"9";"20700";"Corbin Stanley";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"2";"1";"0"
"USA";"7";"16660";"Ben Liechty";"2";"3";"0";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0"
"USA";"6";"23856";"Alexander Oprea";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"USA";"5";"12216";"Jake Ehrhardt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"4";"23855";"Nicolas Saveljic";"0";"5";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"3";"2";"2";"2";"0";"0";"1";"0";"0"
"USA";"3";"2389";"Marko Vavic";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"2";"15267";"Tyler Abramson";"1";"6";"0";"2";"0";"2";"1";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"13"
"USA";"14";"16657";"Ryan Ohl";"3";"9";"1";"6";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"2";"0";"4";"0";"1";"0";"0"
"Montenegro";"14";"98";"Danilo Radovic";"1";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"1";"0";"0"
