"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"2";"2369";"Besarion Akhvlediani";"1";"5";"0";"2";"0";"0";"0";"1";"1";"1";"0";"1";"3";"2";"0";"0";"0";"2";"2";"0";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"3";"3";"2";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"3";"7";"1";"3";"0";"0";"2";"3";"0";"0";"0";"1";"2";"0";"2";"0";"3";"1";"1";"0";"0"
"Georgia";"5";"2455";"Saba Tkeshelashvili";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"0";"0";"0"
"Georgia";"6";"715";"Dusan Vasic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"2";"0";"0"
"Georgia";"7";"12213";"Sandro Adeishvili";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"2";"1";"0"
"Georgia";"8";"2370";"Jovan Saric";"3";"3";"1";"1";"0";"0";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"1";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"0";"0";"2";"2";"0";"0"
"Georgia";"11";"13766";"Luka Chikovani";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Georgia";"12";"1377";"Stefan Pjesivac";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"6";"1";"0";"0";"1";"0";"2";"0"
"Georgia";"13";"2372";"Giorgi Gvetadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Georgia";"14";"947";"Artsiom Dzikhtsiarenka";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"6";"1";"1";"0";"2";"2";"0";"0"
"USA";"7";"16660";"Ben Liechty";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"2";"0"
"USA";"6";"23856";"Alexander Oprea";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"USA";"5";"12216";"Jake Ehrhardt";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"USA";"4";"23855";"Nicolas Saveljic";"1";"5";"1";"1";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"2";"2";"0";"2";"2";"0";"0"
"USA";"14";"16657";"Ryan Ohl";"4";"9";"1";"5";"0";"0";"2";"3";"1";"1";"0";"0";"1";"0";"2";"0";"1";"0";"2";"0";"0"
"USA";"12";"2205";"Max Irving";"1";"5";"0";"3";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0"
"USA";"9";"20700";"Corbin Stanley";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"USA";"10";"12214";"Chase William Dodd";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"USA";"3";"2389";"Marko Vavic";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"0";"0";"1";"2";"1";"0"
"USA";"2";"15267";"Tyler Abramson";"2";"3";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"USA";"13";"18902";"Bernado Herzer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"9"
"USA";"11";"23857";"Dom Brown";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0"
