"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Japan";"1";"15270";"Towa Nishimura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
"Japan";"2";"4755";"Seiya Adachi";"1";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Japan";"3";"12170";"Taiyo Watanabe";"3";"4";"1";"2";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"3";"0";"0";"0";"0"
"Japan";"4";"16951";"MasayukI Yamamoto";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"1";"1";"0"
"Japan";"7";"12174";"Kiyomu Date";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Japan";"6";"4759";"Toi Suzuki";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"4";"1";"0"
"Japan";"8";"4761";"Mitsuru Takata";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Japan";"9";"15271";"Ikkei Nitta";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Japan";"10";"4763";"Yusuke Inaba";"0";"5";"0";"2";"0";"1";"0";"1";"0";"1";"0";"0";"1";"2";"1";"0";"0";"0";"3";"1";"0"
"Japan";"13";"15272";"Ren Sasano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"Japan";"11";"12171";"Daichi Ogihara";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Japan";"12";"4765";"Kenta Araki";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"4";"1";"0"
"Japan";"14";"19513";"Taiki Katayama";"1";"8";"0";"4";"0";"1";"1";"2";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0"
"Japan";"15";"16611";"Yuki Moriya";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"1";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"14"
"Croatia";"12";"1410";"Konstantin Kharkov";"4";"7";"2";"4";"0";"0";"1";"2";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Croatia";"13";"8339";"Mauro Ivan Cubranic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"2";"60";"Rino Buric";"3";"5";"2";"4";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"1";"1";"0";"0";"1";"1";"0"
"Croatia";"3";"79";"Filip Krzic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"1";"0";"0";"2";"2";"0"
"Croatia";"5";"6";"Franko Lazic";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0"
"Croatia";"6";"915";"Andrija Basic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"1";"0";"0"
"Croatia";"7";"64";"Duje Pejkovic";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"1";"4";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"4";"5";"2";"2";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"10";"8557";"Ivusa Burdjelez";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0";"0";"2";"1";"0";"0"
"Croatia";"11";"65";"Zvonimir Butic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"3";"1";"0";"0"
"Croatia";"14";"8567";"Vlaho Pavlic";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"1";"0";"0"
