"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"2";"5018";"Oscar Asensio";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"2";"1";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"1";"3";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"1";"1";"0";"1";"1";"1";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"1";"0"
"Spain";"5";"596";"Pol Daura Gomez";"5";"6";"3";"4";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"0";"0";"0"
"Spain";"8";"12362";"Fran Valera";"2";"6";"1";"5";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"13"
"Spain";"9";"1296";"Roger Tahull";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Spain";"10";"14362";"Oscar Blasco";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"11";"420";"Unai Biel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"Spain";"7";"582";"Marc Valls Ferrer";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0"
"Montenegro";"14";"98";"Danilo Radovic";"0";"5";"0";"2";"0";"2";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"0";"1";"0";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"10";"93";"Vlado Popadic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"9";"2155";"Miroslav Perkovic";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"2";"0";"0"
"Montenegro";"8";"112";"Filip Gardasevic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"1";"0";"0"
"Montenegro";"7";"2150";"Balsa Vuckovic";"1";"4";"0";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Montenegro";"6";"2393";"Savo Cetkovic";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"7";"0";"1";"0";"1";"2";"1";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"4";"109";"Jovan Vujovic";"1";"5";"1";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"1";"5";"0";"3";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Montenegro";"2";"2189";"Marko Mrsic";"0";"4";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0"
"Montenegro";"1";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"13"
"Montenegro";"13";"102";"Darko Durovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"14";"13705";"Biel Gomila";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
