"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Greece";"2";"1328";"Konstantinos Genidounias";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"2";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"2";"2";"0";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"2";"0";"0";"0"
"Greece";"5";"1334";"Stylianos Argyropoulos";"4";"5";"1";"2";"0";"0";"3";"3";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"2";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0"
"Greece";"7";"4822";"Nikolaos Gkillas";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
"Greece";"8";"867";"Efstathios Kalogeropoulos";"4";"6";"2";"4";"0";"0";"2";"2";"0";"0";"0";"0";"3";"0";"1";"1";"1";"0";"0";"1";"0"
"Greece";"9";"11477";"Ioannis Alafragkis";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"1";"2";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"1";"0";"2";"0"
"Greece";"12";"179";"Aristeidis Chalyvopoulos";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Greece";"14";"11480";"Dimitris Dimou";"0";"3";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"1";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Montenegro";"2";"781";"Nikola Moskov";"3";"5";"1";"1";"1";"1";"0";"2";"1";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0"
"Montenegro";"4";"109";"Jovan Vujovic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"1";"0";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"6";"2393";"Savo Cetkovic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"1";"1";"0"
"Montenegro";"7";"2150";"Balsa Vuckovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"Montenegro";"9";"2155";"Miroslav Perkovic";"2";"7";"1";"5";"0";"0";"1";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0"
"Montenegro";"10";"93";"Vlado Popadic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"4";"4";"3";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0"
"Montenegro";"12";"112";"Filip Gardasevic";"0";"5";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0"
"Montenegro";"13";"102";"Darko Durovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Montenegro";"14";"98";"Danilo Radovic";"0";"4";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"2";"2";"0";"0"
