"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"8";"11";"3";"6";"0";"0";"3";"3";"2";"2";"0";"0";"1";"1";"5";"0";"0";"2";"0";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"2";"7";"2";"6";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0"
"Spain";"5";"596";"Pol Daura Gomez";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Spain";"6";"1293";"Marc Larumbe";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"1";"0";"0"
"Spain";"8";"12362";"Fran Valera";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"1";"0";"0";"1";"2";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"16"
"Spain";"9";"1296";"Roger Tahull";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"1";"1";"0"
"Spain";"10";"595";"Max Casabella Belles";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Spain";"11";"420";"Unai Biel";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Spain";"7";"582";"Marc Valls Ferrer";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Hungary";"14";"13745";"Vince Varga";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Hungary";"12";"13740";"Akos Nagy";"2";"5";"2";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Spain";"14";"13705";"Biel Gomila";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Hungary";"11";"814";"Krisztian Bedo";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"10";"2368";"Vendel Vigvari";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0"
"Hungary";"9";"17523";"Peter Kovacs";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"8";"374";"Gergely Burian";"0";"4";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"1";"0";"0"
"Hungary";"7";"13737";"Zsombor Ekler";"2";"8";"0";"4";"0";"0";"2";"4";"0";"0";"0";"0";"1";"1";"1";"0";"2";"1";"0";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"2";"1";"1";"0";"0";"1";"1";"0"
"Hungary";"5";"13744";"David Tatrai";"1";"5";"0";"4";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0"
"Hungary";"4";"823";"Zsombor Vismeg";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"1";"7";"0";"5";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"2";"0";"0";"1";"5";"0";"0"
"Hungary";"2";"1341";"Daniel Angyal";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0"
"Hungary";"1";"812";"Kristof Csoma";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Hungary";"13";"14197";"Daniel Szakonyi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Spain";"2";"568";"Jan Perez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
